id,contract_name,name,address,Latitude,Longtitude,banking,bonus,bike_stands,status
42,dublin,SMITHFIELD NORTH,Smithfield North,53.349562,-6.278198,TRUE,FALSE,30,OPEN
30,dublin,PARNELL SQUARE NORTH,Parnell Square North,53.353462,-6.265305,TRUE,FALSE,20,OPEN
54,dublin,CLONMEL STREET,Clonmel Street,53.336021,-6.26298,FALSE,FALSE,33,OPEN
108,dublin,AVONDALE ROAD,Avondale Road,53.359405,-6.276142,FALSE,FALSE,40,OPEN
56,dublin,MOUNT STREET LOWER,Mount Street Lower,53.33796,-6.24153,FALSE,FALSE,40,OPEN
6,dublin,CHRISTCHURCH PLACE,Christchurch Place,53.343368,-6.27012,FALSE,FALSE,20,OPEN
18,dublin,GRANTHAM STREET,Grantham Street,53.334123,-6.265436,TRUE,FALSE,30,OPEN
32,dublin,PEARSE STREET,Pearse Street,53.344304,-6.250427,TRUE,FALSE,30,OPEN
52,dublin,YORK STREET EAST,York Street East,53.338755,-6.262003,FALSE,FALSE,32,OPEN
48,dublin,EXCISE WALK,Excise Walk,53.347777,-6.244239,FALSE,FALSE,40,OPEN
13,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,53.336074,-6.252825,FALSE,FALSE,30,OPEN
43,dublin,PORTOBELLO ROAD,Portobello Road,53.330091,-6.268044,TRUE,FALSE,30,OPEN
81,dublin,ST. JAMES HOSPITAL (CENTRAL),St. James Hospital (Central),53.339983,-6.295594,FALSE,FALSE,40,OPEN
31,dublin,PARNELL STREET,Parnell Street,53.350929,-6.265125,FALSE,FALSE,20,OPEN
98,dublin,FREDERICK STREET SOUTH,Frederick Street South,53.341515,-6.256853,TRUE,FALSE,40,OPEN
23,dublin,CUSTOM HOUSE,Custom House,53.348279,-6.254662,TRUE,FALSE,30,OPEN
106,dublin,RATHDOWN ROAD,Rathdown Road,53.35893,-6.280337,FALSE,FALSE,40,OPEN
112,dublin,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),53.357841,-6.251557,FALSE,FALSE,30,OPEN
68,dublin,HANOVER QUAY,Hanover Quay,53.344115,-6.237153,TRUE,FALSE,40,OPEN
74,dublin,OLIVER BOND STREET,Oliver Bond Street,53.343893,-6.280531,FALSE,FALSE,30,OPEN
87,dublin,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,53.347477,-6.28525,TRUE,FALSE,38,OPEN
84,dublin,BROOKFIELD ROAD,Brookfield Road,53.339005,-6.300217,FALSE,FALSE,30,OPEN
90,dublin,BENSON STREET,Benson Street,53.344153,-6.233451,FALSE,FALSE,40,OPEN
11,dublin,EARLSFORT TERRACE,Earlsfort Terrace,53.334019,-6.258371,FALSE,FALSE,30,OPEN
17,dublin,GOLDEN LANE,Golden Lane,53.340803,-6.267732,FALSE,FALSE,20,OPEN
45,dublin,DEVERELL PLACE,Deverell Place,53.351464,-6.255265,FALSE,FALSE,30,OPEN
114,dublin,WILTON TERRACE (PARK),Wilton Terrace (Park),53.333653,-6.248345,TRUE,FALSE,40,OPEN
72,dublin,JOHN STREET WEST,John Street West,53.343105,-6.277167,FALSE,FALSE,31,OPEN
63,dublin,FENIAN STREET,Fenian Street,53.341428,-6.24672,FALSE,FALSE,35,OPEN
113,dublin,MERRION SQUARE SOUTH,Merrion Square South,53.338614,-6.248606,TRUE,FALSE,40,OPEN
91,dublin,SOUTH DOCK ROAD,South Dock Road,53.341833,-6.231291,FALSE,FALSE,30,OPEN
99,dublin,CITY QUAY,City Quay,53.346637,-6.246154,FALSE,FALSE,30,OPEN
9,dublin,EXCHEQUER STREET,Exchequer Street,53.343034,-6.263578,FALSE,FALSE,24,OPEN
67,dublin,THE POINT,The Point,53.346867,-6.230852,FALSE,FALSE,40,OPEN
55,dublin,HATCH STREET,Hatch Street,53.33403,-6.260714,FALSE,FALSE,36,OPEN
62,dublin,LIME STREET,Lime Street,53.346026,-6.243576,FALSE,FALSE,40,OPEN
5,dublin,CHARLEMONT PLACE,Charlemont Street,53.330662,-6.260177,FALSE,FALSE,40,OPEN
97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,53.342113,-6.310015,TRUE,FALSE,40,OPEN
61,dublin,HARDWICKE PLACE,Hardwicke Place,53.357043,-6.263232,TRUE,FALSE,25,OPEN
77,dublin,WOLFE TONE STREET,Wolfe Tone Street,53.348875,-6.267459,FALSE,FALSE,29,OPEN
73,dublin,FRANCIS STREET,Francis Street,53.342081,-6.275233,FALSE,FALSE,30,OPEN
4,dublin,GREEK STREET,Greek Street,53.346874,-6.272976,FALSE,FALSE,20,OPEN
49,dublin,GUILD STREET,Guild Street,53.347932,-6.240928,FALSE,FALSE,40,OPEN
19,dublin,HERBERT PLACE,Herbert Place,53.334432,-6.245575,FALSE,FALSE,30,OPEN
7,dublin,HIGH STREET,High Street,53.343565,-6.275071,TRUE,FALSE,29,OPEN
102,dublin,WESTERN WAY,Western Way,53.354929,-6.269425,FALSE,FALSE,40,OPEN
38,dublin,TALBOT STREET,Talbot Street,53.350974,-6.25294,FALSE,FALSE,40,OPEN
53,dublin,NEWMAN HOUSE,Newman House,53.337132,-6.26059,FALSE,FALSE,40,OPEN
58,dublin,SIR PATRICK DUN'S,Sir Patrick's Dun,53.339218,-6.240642,TRUE,FALSE,40,OPEN
66,dublin,NEW CENTRAL BANK,New Central Bank,53.347122,-6.234749,FALSE,FALSE,40,OPEN
104,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),53.355173,-6.278424,TRUE,FALSE,40,OPEN
101,dublin,KING STREET NORTH,King Street North,53.350291,-6.273507,FALSE,FALSE,30,OPEN
115,dublin,KILLARNEY STREET,Killarney Street,53.354845,-6.247579,FALSE,FALSE,30,OPEN
47,dublin,HERBERT STREET,Herbert Street,53.335742,-6.24551,FALSE,FALSE,40,OPEN
117,dublin,HANOVER QUAY EAST,Hanover Quay East,53.343653,-6.231755,FALSE,FALSE,40,OPEN
8,dublin,CUSTOM HOUSE QUAY,Custom House Quay,53.347884,-6.248048,FALSE,FALSE,30,OPEN
27,dublin,MOLESWORTH STREET,Molesworth Street,53.341288,-6.258117,FALSE,FALSE,20,OPEN
16,dublin,GEORGES QUAY,Georges Quay,53.347508,-6.252192,FALSE,FALSE,20,OPEN
96,dublin,KILMAINHAM LANE,Kilmainham Lane,53.341805,-6.305085,FALSE,FALSE,30,OPEN
82,dublin,MOUNT BROWN,Mount Brown,53.341645,-6.29719,FALSE,FALSE,22,OPEN
76,dublin,MARKET STREET SOUTH,Market Street South,53.342296,-6.287661,FALSE,FALSE,38,OPEN
71,dublin,KEVIN STREET,Kevin Street,53.337757,-6.267699,TRUE,FALSE,40,OPEN
79,dublin,ECCLES STREET EAST,Eccles Street East,53.358115,-6.265601,FALSE,FALSE,27,OPEN
69,dublin,GRAND CANAL DOCK,Grand Canal Dock,53.342638,-6.238695,FALSE,FALSE,40,OPEN
25,dublin,MERRION SQUARE EAST,Merrion Square East,53.339434,-6.246548,FALSE,FALSE,30,OPEN
51,dublin,YORK STREET WEST,York Street West,53.339334,-6.264699,FALSE,FALSE,40,OPEN
37,dublin,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,53.337494,-6.26199,TRUE,FALSE,30,OPEN
59,dublin,DENMARK STREET GREAT,Denmark Street Great,53.35561,-6.261397,FALSE,FALSE,20,OPEN
95,dublin,ROYAL HOSPITAL,Royal Hospital,53.343897,-6.29706,TRUE,FALSE,40,OPEN
94,dublin,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),53.346985,-6.297804,FALSE,FALSE,40,OPEN
105,dublin,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),53.355954,-6.278378,FALSE,FALSE,36,OPEN
36,dublin,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,53.337824,-6.256035,TRUE,FALSE,40,OPEN
93,dublin,HEUSTON STATION (CENTRAL),Heuston Station (Central),53.346603,-6.296924,FALSE,FALSE,40,OPEN
22,dublin,TOWNSEND STREET,Townsend Street,53.345922,-6.254614,FALSE,FALSE,20,OPEN
50,dublin,GEORGES LANE,George's Lane,53.35023,-6.279696,FALSE,FALSE,40,OPEN
110,dublin,PHIBSBOROUGH ROAD,Phibsborough Road,53.356307,-6.273717,FALSE,FALSE,40,OPEN
12,dublin,ECCLES STREET,Eccles Street,53.359246,-6.269779,FALSE,FALSE,20,OPEN
34,dublin,PORTOBELLO HARBOUR,Portobello Harbour,53.330362,-6.265163,FALSE,FALSE,30,OPEN
78,dublin,MATER HOSPITAL,Mater Hospital,53.359967,-6.264828,FALSE,FALSE,40,OPEN
2,dublin,BLESSINGTON STREET,Blessington Street,53.356769,-6.26814,TRUE,FALSE,20,OPEN
75,dublin,JAMES STREET,James Street,53.343456,-6.287409,TRUE,FALSE,40,OPEN
111,dublin,MOUNTJOY SQUARE EAST,Mountjoy Square East,53.356717,-6.256359,TRUE,FALSE,40,OPEN
26,dublin,MERRION SQUARE WEST,Merrion Square West,53.339764,-6.251988,TRUE,FALSE,20,OPEN
65,dublin,CONVENTION CENTRE,Convention Centre,53.34744,-6.238523,TRUE,FALSE,40,OPEN
15,dublin,HARDWICKE STREET,Hardwicke Street,53.355473,-6.264423,FALSE,FALSE,16,OPEN
86,dublin,PARKGATE STREET,Parkgate Street,53.347972,-6.291804,TRUE,FALSE,38,OPEN
10,dublin,DAME STREET,Dame Street,53.344007,-6.266802,TRUE,FALSE,16,OPEN
100,dublin,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),53.347106,-6.292041,FALSE,FALSE,25,OPEN
24,dublin,CATHAL BRUGHA STREET,Cathal Brugha Street,53.352149,-6.260533,FALSE,FALSE,20,OPEN
64,dublin,SANDWITH STREET,Sandwith Street,53.345203,-6.247163,TRUE,FALSE,40,OPEN
109,dublin,BUCKINGHAM STREET LOWER,Buckingham Street Lower,53.353331,-6.249319,FALSE,FALSE,29,OPEN
